2014-01-07 21:02:47 status unpacked base-passwd:armhf 3.5.26
2014-01-07 21:02:47 status unpacked base-passwd:armhf 3.5.26
2014-01-07 21:02:47 install bash:armhf <none> 4.2+dfsg-0.1
2014-01-07 21:02:47 status half-installed bash:armhf 4.2+dfsg-0.1
2014-01-07 21:02:49 status unpacked bash:armhf 4.2+dfsg-0.1
2014-01-07 21:02:49 status unpacked bash:armhf 4.2+dfsg-0.1
2014-01-07 21:02:49 install bsdutils:armhf <none> 1:2.20.1-5.3
2014-01-07 21:02:49 status half-installed bsdutils:armhf 1:2.20.1-5.3
2014-01-07 21:02:49 status unpacked bsdutils:armhf 1:2.20.1-5.3
2014-01-07 21:02:49 status unpacked bsdutils:armhf 1:2.20.1-5.3
2014-01-07 21:02:50 install coreutils:armhf <none> 8.13-3.5
2014-01-07 21:02:50 status half-installed coreutils:armhf 8.13-3.5
2014-01-07 21:02:54 status unpacked coreutils:armhf 8.13-3.5
2014-01-07 21:02:54 status unpacked coreutils:armhf 8.13-3.5
2014-01-07 21:02:55 install cpio:armhf <none> 2.11+dfsg-0.1
2014-01-07 21:02:55 status half-installed cpio:armhf 2.11+dfsg-0.1
2014-01-07 21:02:55 status unpacked cpio:armhf 2.11+dfsg-0.1
2014-01-07 21:02:55 status unpacked cpio:armhf 2.11+dfsg-0.1
2014-01-07 21:02:56 install dash:armhf <none> 0.5.7-3
2014-01-07 21:02:56 status half-installed dash:armhf 0.5.7-3
2014-01-07 21:02:57 status unpacked dash:armhf 0.5.7-3
2014-01-07 21:02:57 status unpacked dash:armhf 0.5.7-3
2014-01-07 21:02:58 upgrade debconf:all 1.5.49 1.5.49
2014-01-07 21:02:58 status half-configured debconf:all 1.5.49
2014-01-07 21:02:59 status unpacked debconf:all 1.5.49
2014-01-07 21:02:59 status half-installed debconf:all 1.5.49
2014-01-07 21:03:00 status half-installed debconf:all 1.5.49
2014-01-07 21:03:00 status unpacked debconf:all 1.5.49
2014-01-07 21:03:00 status unpacked debconf:all 1.5.49
2014-01-07 21:03:00 install debconf-i18n:all <none> 1.5.49
2014-01-07 21:03:00 status half-installed debconf-i18n:all 1.5.49
2014-01-07 21:03:02 status unpacked debconf-i18n:all 1.5.49
2014-01-07 21:03:02 status unpacked debconf-i18n:all 1.5.49
2014-01-07 21:03:03 install debianutils:armhf <none> 4.3.2
2014-01-07 21:03:03 status half-installed debianutils:armhf 4.3.2
2014-01-07 21:03:03 status unpacked debianutils:armhf 4.3.2
2014-01-07 21:03:03 status unpacked debianutils:armhf 4.3.2
2014-01-07 21:03:04 install diffutils:armhf <none> 1:3.2-6
2014-01-07 21:03:04 status half-installed diffutils:armhf 1:3.2-6
2014-01-07 21:03:04 status unpacked diffutils:armhf 1:3.2-6
2014-01-07 21:03:04 status unpacked diffutils:armhf 1:3.2-6
2014-01-07 21:03:05 upgrade dpkg:armhf 1.16.12 1.16.12
2014-01-07 21:03:05 status half-configured dpkg:armhf 1.16.12
2014-01-07 21:03:05 status unpacked dpkg:armhf 1.16.12
2014-01-07 21:03:05 status half-installed dpkg:armhf 1.16.12
2014-01-07 21:03:08 status half-installed dpkg:armhf 1.16.12
2014-01-07 21:03:08 status unpacked dpkg:armhf 1.16.12
2014-01-07 21:03:08 status unpacked dpkg:armhf 1.16.12
2014-01-07 21:03:08 install e2fslibs:armhf <none> 1.42.5-1.1
2014-01-07 21:03:08 status half-installed e2fslibs:armhf 1.42.5-1.1
2014-01-07 21:03:09 status unpacked e2fslibs:armhf 1.42.5-1.1
2014-01-07 21:03:09 status unpacked e2fslibs:armhf 1.42.5-1.1
2014-01-07 21:03:09 install e2fsprogs:armhf <none> 1.42.5-1.1
2014-01-07 21:03:09 status half-installed e2fsprogs:armhf 1.42.5-1.1
2014-01-07 21:03:10 status unpacked e2fsprogs:armhf 1.42.5-1.1
2014-01-07 21:03:10 status unpacked e2fsprogs:armhf 1.42.5-1.1
2014-01-07 21:03:10 install findutils:armhf <none> 4.4.2-4
2014-01-07 21:03:10 status half-installed findutils:armhf 4.4.2-4
2014-01-07 21:03:12 status unpacked findutils:armhf 4.4.2-4
2014-01-07 21:03:12 status unpacked findutils:armhf 4.4.2-4
2014-01-07 21:03:12 install gcc-4.5-base:armhf <none> 4.5.3-12+rpi1
2014-01-07 21:03:12 status half-installed gcc-4.5-base:armhf 4.5.3-12+rpi1
2014-01-07 21:03:13 status unpacked gcc-4.5-base:armhf 4.5.3-12+rpi1
2014-01-07 21:03:13 status unpacked gcc-4.5-base:armhf 4.5.3-12+rpi1
2014-01-07 21:03:13 install gcc-4.6-base:armhf <none> 4.6.3-14+rpi1
2014-01-07 21:03:13 status half-installed gcc-4.6-base:armhf 4.6.3-14+rpi1
2014-01-07 21:03:13 status unpacked gcc-4.6-base:armhf 4.6.3-14+rpi1
